"","d2010_11_06","d2010_11_07","d2010_11_08","d2010_11_09","d2010_11_10","d2010_11_11","d2010_11_12","d2010_11_13","d2010_11_14","d2010_11_15","d2010_11_16","d2010_11_17","d2010_11_18","d2010_11_19","d2010_11_20","d2010_11_21","d2010_11_22","d2010_11_23","d2010_11_24","d2010_11_25","d2010_11_26","d2010_11_27","d2010_11_28","d2010_11_29","d2010_11_30","d2010_12_01","d2010_12_02","d2010_12_03","d2010_12_04","d2010_12_05"
"1",-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079,-1.12176761793079
"2",0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051,0.0785487095789051
"3",-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009,-0.134372816902009
"4",-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651,-0.456884994473651
"5",-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529,-0.61086567099529
"6",0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341,0.0514991457562341
"7",-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175,-0.149427961108175
"8",-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965,-0.422566533575965
"9",-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524,-0.60485104949524
"10",-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115,-0.88825738801115
"11",-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841,-0.582968315330841
"12",0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196,0.168873114176196
"13",0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642,0.0911715082310642
"14",-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619,-0.119826588413619
"15",-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004,-0.328098114593004
"16",-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546,-0.734581941010546
"17",-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001,-0.866826138901001
"18",-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017,-0.565277754791017
