"","d2010_11_06","d2010_11_07","d2010_11_08","d2010_11_09","d2010_11_10","d2010_11_11","d2010_11_12","d2010_11_13","d2010_11_14","d2010_11_15","d2010_11_16","d2010_11_17","d2010_11_18","d2010_11_19","d2010_11_20","d2010_11_21","d2010_11_22","d2010_11_23","d2010_11_24","d2010_11_25","d2010_11_26","d2010_11_27","d2010_11_28","d2010_11_29","d2010_11_30","d2010_12_01","d2010_12_02","d2010_12_03","d2010_12_04","d2010_12_05"
"21",-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.278317824378019,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.29751573794611,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"22",-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.460461383354904,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.448248361978799,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"23",0.241095954358627,0.241095954358627,0.241095954358627,0.241095954358627,0.241095954358627,0.241095954358627,0.241095954358627,0.241095954358627,0.241095954358627,0.241095954358627,0.0494236778850787,0.0494236778850787,0.0494236778850787,0.0494236778850787,0.0494236778850787,0.0494236778850787,0.0494236778850787,0.0494236778850787,0.0494236778850787,0.0494236778850787,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"24",0.770531614543869,0.770531614543869,0.770531614543869,0.770531614543869,0.770531614543869,0.770531614543869,0.770531614543869,0.770531614543869,0.770531614543869,0.770531614543869,0.518584463926666,0.518584463926666,0.518584463926666,0.518584463926666,0.518584463926666,0.518584463926666,0.518584463926666,0.518584463926666,0.518584463926666,0.518584463926666,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"25",0.734372766794755,0.734372766794755,0.734372766794755,0.734372766794755,0.734372766794755,0.734372766794755,0.734372766794755,0.734372766794755,0.734372766794755,0.734372766794755,0.496908018833864,0.496908018833864,0.496908018833864,0.496908018833864,0.496908018833864,0.496908018833864,0.496908018833864,0.496908018833864,0.496908018833864,0.496908018833864,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"26",0.48772917292665,0.48772917292665,0.48772917292665,0.48772917292665,0.48772917292665,0.48772917292665,0.48772917292665,0.48772917292665,0.48772917292665,0.48772917292665,0.291304390483433,0.291304390483433,0.291304390483433,0.291304390483433,0.291304390483433,0.291304390483433,0.291304390483433,0.291304390483433,0.291304390483433,0.291304390483433,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"27",0.141304504183865,0.141304504183865,0.141304504183865,0.141304504183865,0.141304504183865,0.141304504183865,0.141304504183865,0.141304504183865,0.141304504183865,0.141304504183865,0.00587301758220728,0.00587301758220728,0.00587301758220728,0.00587301758220728,0.00587301758220728,0.00587301758220728,0.00587301758220728,0.00587301758220728,0.00587301758220728,0.00587301758220728,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"28",-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.181325982806578,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.250184300770701,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"29",-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.410677990962711,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.423756531119187,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"30",0.64874435654887,0.64874435654887,0.64874435654887,0.64874435654887,0.64874435654887,0.64874435654887,0.64874435654887,0.64874435654887,0.64874435654887,0.64874435654887,0.288359236842787,0.288359236842787,0.288359236842787,0.288359236842787,0.288359236842787,0.288359236842787,0.288359236842787,0.288359236842787,0.288359236842787,0.288359236842787,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
